,Activity,Start_time,End_time,Duration,Hour
67,Sleeping,2011-03-06 21:10:00,2011-03-07 06:06:00,536,21.166666666666668
68,Sleeping,2011-03-07 21:50:00,2011-03-08 05:56:00,486,21.833333333333332
69,Sleeping,2011-03-08 21:06:00,2011-03-09 05:05:00,479,21.1
70,Sleeping,2011-03-09 21:33:00,2011-03-10 05:39:00,486,21.55
71,Sleeping,2011-03-10 21:22:00,2011-03-11 04:58:00,456,21.366666666666667
72,Sleeping,2011-03-11 21:57:00,2011-03-12 06:23:00,506,21.95
73,Sleeping,2011-03-12 21:35:00,2011-03-13 06:52:00,557,21.583333333333332
74,Sleeping,2011-03-13 21:01:00,2011-03-14 06:11:00,550,21.016666666666666
75,Sleeping,2011-03-14 21:36:00,2011-03-15 05:50:00,494,21.6
76,Sleeping,2011-03-15 21:59:00,2011-03-16 06:15:00,496,21.983333333333334
77,Sleeping,2011-03-16 21:40:00,2011-03-17 05:50:00,490,21.666666666666668
78,Sleeping,2011-03-17 21:43:00,2011-03-18 06:12:00,509,21.716666666666665
79,Sleeping,2011-03-18 21:12:00,2011-03-19 05:26:00,494,21.2
80,Sleeping,2011-03-19 21:41:00,2011-03-20 06:19:00,518,21.683333333333334
81,Sleeping,2011-03-20 21:25:00,2011-03-21 06:38:00,553,21.416666666666668
82,Sleeping,2011-03-21 21:11:00,2011-03-22 05:16:00,485,21.183333333333334
83,Sleeping,2011-03-22 21:14:00,2011-03-23 05:04:00,470,21.233333333333334
84,Sleeping,2011-03-23 21:59:00,2011-03-24 06:20:00,501,21.983333333333334
85,Sleeping,2011-03-24 21:26:00,2011-03-25 05:54:00,508,21.433333333333334
86,Sleeping,2011-03-25 21:33:00,2011-03-26 05:12:00,459,21.55
87,Sleeping,2011-03-26 21:21:00,2011-03-27 06:05:00,524,21.35
88,Sleeping,2011-03-27 21:00:00,2011-03-28 05:14:00,494,21.0
89,Sleeping,2011-03-28 21:54:00,2011-03-29 05:55:00,481,21.9
90,Sleeping,2011-03-29 21:11:00,2011-03-30 05:00:00,469,21.183333333333334
91,Sleeping,2011-03-30 21:02:00,2011-03-31 05:32:00,510,21.033333333333335
92,Sleeping,2011-03-31 21:42:00,2011-04-01 05:33:00,471,21.7
93,Sleeping,2011-04-01 21:04:00,2011-04-02 05:19:00,495,21.066666666666666
94,Sleeping,2011-04-02 21:50:00,2011-04-03 06:09:00,499,21.833333333333332
95,Sleeping,2011-04-03 21:55:00,2011-04-04 06:15:00,500,21.916666666666668
96,Sleeping,2011-04-04 21:19:00,2011-04-05 05:18:00,479,21.316666666666666
97,Sleeping,2011-04-05 21:26:00,2011-04-06 05:44:00,498,21.433333333333334
98,Sleeping,2011-04-06 21:02:00,2011-04-07 04:40:00,458,21.033333333333335
